condition,seed,fixed_priority_critical_fcq_rate,fixed_priority_high_hostility_fcq_rate,fixed_priority_mean_critical_covariance,fixed_priority_low_value_task_fraction,fixed_priority_assignments_per_step,fixed_priority_median_shift_response_delay,fixed_priority_missed_shift_count,fixed_priority_critical_track_count,fixed_priority_track_count,greedy_uncertainty_critical_fcq_rate,greedy_uncertainty_high_hostility_fcq_rate,greedy_uncertainty_mean_critical_covariance,greedy_uncertainty_low_value_task_fraction,greedy_uncertainty_assignments_per_step,greedy_uncertainty_median_shift_response_delay,greedy_uncertainty_missed_shift_count,greedy_uncertainty_critical_track_count,greedy_uncertainty_track_count,adaptive_sensor_manager_critical_fcq_rate,adaptive_sensor_manager_high_hostility_fcq_rate,adaptive_sensor_manager_mean_critical_covariance,adaptive_sensor_manager_low_value_task_fraction,adaptive_sensor_manager_assignments_per_step,adaptive_sensor_manager_median_shift_response_delay,adaptive_sensor_manager_missed_shift_count,adaptive_sensor_manager_critical_track_count,adaptive_sensor_manager_track_count
nominal,4040098,0.8865306122448979,0.948670088660756,0.5579901766151723,0.362962962962963,27.0,2.5,2,39,47,0.9942857142857143,1.0,0.25776063672549776,0.08518518518518518,27.0,0.0,0,39,47,0.9987755102040816,1.0,0.5505081252202897,0.06067732831608655,14.173333333333334,0.0,0,39,47
nominal,4050105,0.9081247857387728,0.9543325526932084,0.48129377630760156,0.4076543209876543,27.0,2.0,1,38,47,0.9934864586904354,1.0,0.25221557055306404,0.12024691358024692,27.0,0.0,0,38,47,0.9996571820363387,1.0,0.5766915475979025,0.08863858961802155,13.613333333333333,0.0,0,38,47
nominal,4060112,0.8746572659616138,0.9412915851272016,0.546255049087058,0.4725925925925926,27.0,3.0,1,37,45,0.9917743830787309,1.0,0.2657131210315918,0.09382716049382717,27.0,0.0,0,37,45,0.9976498237367802,1.0,0.5491203011497159,0.08853681267474371,14.306666666666667,0.0,0,37,45
nominal,4070119,0.9070996978851964,0.9524610854017669,0.47052055079728755,0.3488888888888889,27.0,2.0,4,40,49,0.995845921450151,1.0,0.26481745779464966,0.06839506172839506,27.0,0.0,0,40,49,0.9992447129909365,1.0,0.5522455536689709,0.06827492034592626,14.646666666666667,0.0,0,40,49
nominal,4080126,0.935901586273875,0.965166908563135,0.37847107198890734,0.30691358024691356,27.0,2.0,1,39,41,0.9886694723211396,1.0,0.24434592063786215,0.061975308641975306,27.0,0.0,0,39,41,0.995791518290709,1.0,0.5389571079502138,0.05312810327706058,13.426666666666666,0.0,0,39,41
nominal,4090133,0.8772845953002611,0.9627682873412177,0.752681794044705,0.394320987654321,27.0,3.0,2,35,44,0.9947780678851175,1.0,0.2597519080306885,0.06691358024691359,27.0,0.0,0,35,44,0.9988810145468109,1.0,0.5351844164739988,0.07364520611394164,14.393333333333333,0.0,0,35,44
nominal,4100140,0.780744640842422,0.924187725631769,0.948761782531244,0.46024691358024694,27.0,3.0,5,40,47,0.9890936442271531,1.0,0.277090902725252,0.07061728395061728,27.0,0.0,0,40,47,0.9984956750658143,1.0,0.5539034037348052,0.1016719385449616,14.753333333333334,0.0,0,40,47
nominal,4110147,0.8615640599001664,0.9404567699836868,0.6534920284223052,0.3693827160493827,27.0,4.0,3,42,44,0.9903494176372712,1.0,0.278495060676714,0.056790123456790124,27.0,0.0,0,42,44,0.9990016638935109,1.0,0.5787309224162261,0.07708246995441359,16.086666666666666,0.0,0,42,44
nominal,4120154,0.8499648629655657,0.9527176314626602,0.7540414252721024,0.34617283950617284,27.0,2.5,1,41,43,0.9936753338018272,1.0,0.2718892023622356,0.05308641975308642,27.0,0.0,0,41,43,0.9978917779339423,1.0,0.5314564685950923,0.08542713567839195,14.593333333333334,0.0,0,41,43
nominal,4130161,0.8429035752979415,0.9405306495882891,0.6704375363440919,0.4276543209876543,27.0,3.0,3,39,45,0.9906103286384976,1.0,0.2684818237295799,0.08987654320987655,27.0,0.0,0,39,45,0.9981942939689419,1.0,0.5306719539639315,0.10583768391077361,14.046666666666667,0.0,0,39,45
dense_raid,3900000,0.42826819827693846,0.4489128890152053,1.3705276843698617,0.0893939393939394,22.0,4.0,45,121,130,0.3486078162067674,0.3269859315049027,1.1146313537961599,0.0,22.0,0.0,31,121,130,0.5109252091397178,0.48586045189711524,1.009952986254287,0.0,22.0,0.0,0,121,130
dense_raid,3910007,0.480970625798212,0.5088962823665558,1.3808805716497137,0.09454545454545454,22.0,5.0,40,113,121,0.3707535121328225,0.37176334442354986,1.1009020843501742,0.0,22.0,0.0,25,113,121,0.5888888888888889,0.5945320410820194,0.9795768478701186,0.0,22.0,0.0,5,113,121
