condition,architecture,seed,agents,tasks,margin,safe_completion_rate,raw_completion_rate,constraint_violation_rate,compromised_assignment_rate,messages_per_safe_completion,messages,contract_fields_transmitted,false_rejection_rate,strategy_entropy,unavailable_task_rate
benign,peer_reputation,3990063,500,1200,0,0.9,0.9991666666666666,0.09924937447873228,0.0,16.616666666666667,17946,0,0.0,0.9963315073631136,0.0
benign,constraint_contract,3990063,500,1200,0,0.9583333333333334,0.9775,0.0196078431372549,0.0,14.47304347826087,16644,72000,0.021442495126705652,0.9921987662127357,0.005
benign,peer_reputation,4000070,500,1200,0,0.9066666666666666,0.9991666666666666,0.09257714762301918,0.0,16.509191176470587,17962,0,0.0,0.9963263716567861,0.0
benign,constraint_contract,4000070,500,1200,0,0.9525,0.9758333333333333,0.02391118701964133,0.0,14.646544181977253,16741,72000,0.027509393451422438,0.9948500900269508,0.0125
benign,peer_reputation,4010077,500,1200,0,0.9008333333333334,1.0,0.09916666666666667,0.0,16.836262719703978,18200,0,0.0,0.9853669405593679,0.0
benign,constraint_contract,4010077,500,1200,0,0.935,0.9575,0.02349869451697128,0.0,14.97415329768271,16801,72000,0.02498265093684941,0.9823944854858232,0.0225
benign,peer_reputation,4020084,500,1200,0,0.905,1.0,0.095,0.0,16.5451197053407,17968,0,0.0,0.9935036018845463,0.0
benign,constraint_contract,4020084,500,1200,0,0.9433333333333334,0.9666666666666667,0.02413793103448276,0.0,14.745583038869258,16692,72000,0.02330565229038307,0.9955634248679135,0.01
benign,peer_reputation,4030091,500,1200,0,0.9316666666666666,0.9991666666666666,0.06755629691409508,0.0,15.729874776386405,17586,0,0.0,0.990636343419779,0.0
benign,constraint_contract,4030091,500,1200,0,0.9575,0.9816666666666667,0.02461799660441426,0.0,14.432550043516102,16583,72000,0.023056300268096516,0.9960898933785295,0.0025
benign,peer_reputation,4040098,500,1200,0,0.8958333333333334,1.0,0.10416666666666667,0.0,16.69953488372093,17952,0,0.0,0.9948068472733966,0.0
benign,constraint_contract,4040098,500,1200,0,0.9358333333333333,0.9658333333333333,0.031061259706643658,0.0,14.944790739091719,16783,72000,0.024939007861209,0.9925535264997833,0.020833333333333332
benign,peer_reputation,4050105,500,1200,0,0.9033333333333333,1.0,0.09666666666666666,0.0,16.583025830258304,17976,0,0.0,0.991099343590699,0.0
benign,constraint_contract,4050105,500,1200,0,0.95,0.9741666666666666,0.02480752780153978,0.0,14.689473684210526,16746,72000,0.024204514549904813,0.9914714742929787,0.01
benign,peer_reputation,4060112,500,1200,0,0.9108333333333334,0.9991666666666666,0.0884070058381985,0.0,16.287282708142726,17802,0,0.0,0.9811085416310433,0.0
benign,constraint_contract,4060112,500,1200,0,0.9475,0.9758333333333333,0.029035012809564473,0.0,14.669305189094107,16679,72000,0.02207176709546378,0.9887449963243895,0.014166666666666666
benign,peer_reputation,4070119,500,1200,0,0.8983333333333333,0.9983333333333333,0.1001669449081803,0.0,16.526901669758814,17816,0,0.0,0.996248742093993,0.0
benign,constraint_contract,4070119,500,1200,0,0.9383333333333334,0.9708333333333333,0.03347639484978541,0.0,14.845470692717585,16716,72000,0.025319901987476176,0.9965313647652876,0.018333333333333333
benign,peer_reputation,4080126,500,1200,0,0.9091666666666667,0.9991666666666666,0.09007506255212677,0.0,16.078826764436297,17542,0,0.0,0.9802513253279985,0.0
benign,constraint_contract,4080126,500,1200,0,0.95,0.9741666666666666,0.02480752780153978,0.0,14.643859649122806,16694,72000,0.024801973769640308,0.9866064840871351,0.016666666666666666
benign,peer_reputation,4090133,500,1200,0,0.8975,1.0,0.1025,0.0,16.716805942432682,18004,0,0.0,0.9970627776149887,0.0
benign,constraint_contract,4090133,500,1200,0,0.9416666666666667,0.9683333333333334,0.027538726333907058,0.0,14.768141592920355,16688,72000,0.019742253907321084,0.994664030595491,0.01
benign,peer_reputation,4100140,500,1200,0,0.9133333333333333,0.9983333333333333,0.08514190317195326,0.0,15.886861313868613,17412,0,0.0,0.9831432286014349,0.0
benign,constraint_contract,4100140,500,1200,0,0.9666666666666667,0.99,0.02356902356902357,0.0,14.255172413793103,16536,72000,0.023577993872385773,0.9694806738045539,0.0033333333333333335
benign,peer_reputation,4110147,500,1200,0,0.9116666666666666,1.0,0.08833333333333333,0.0,16.171846435100548,17692,0,0.0,0.9783588035618396,0.0
benign,constraint_contract,4110147,500,1200,0,0.9533333333333334,0.9758333333333333,0.02305721605465414,0.0,14.533216783216783,16626,72000,0.022837009004306408,0.9816822406097347,0.01
